doi,halId,hal_coverage,upw_coverage,title,hal_docType,hal_location,hal_openAccess_bool,hal_submittedDate,hal_licence,hal_selfArchiving,hal_domain,published_date,published_year,journal_name,journal_issns,publisher,genre,journal_issn_l,oa_status,upw_location,version,suspicious_journal,licence,journal_is_in_doaj,journal_is_oa,author_count,is_paratext
,hal-00995439,in,,Vers un modèle écologique d'analyse et de projet,COUV,notice,False,2014-05-23 12:12:43,,False,['0.shs'],2011,2011.0,,False,,,,,,,,,,,1.0,
,hal-00995443,in,,Kunst im Rohzustand,COUV,notice,False,2014-05-23 12:12:47,,False,['0.shs'],2010,2010.0,,False,,,,,,,,,,,1.0,
,hal-00995444,in,,Contribution,COUV,notice,False,2014-05-23 12:12:48,,False,['0.shs'],2005,2005.0,,False,,,,,,,,,,,1.0,
,hal-00995447,in,,Ambiance(s) de gare et imaginaire ferroviaire,COUV,notice,False,2014-05-23 12:12:51,,False,['0.shs'],2007,2007.0,,False,,,,,,,,,,,1.0,
,hal-00995460,in,,L'architecture comme engagement sensible,COUV,notice,False,2014-05-23 12:13:03,,False,['0.shs'],2012,2012.0,,False,,,,,,,,,,,1.0,
,hal-00995470,in,,La conception d'ambiances nocturnes : de l'enquête sociologique au projet,COUV,notice,False,2014-05-23 12:13:21,,False,['0.shs'],2009,2009.0,,False,,,,,,,,,,,3.0,
,hal-00995473,in,,Atmosphären. Konzept für einen nicht repräsentationellen Zugang zum Raum,COUV,notice,False,2014-05-23 12:13:24,,True,['0.shs'],2007,2007.0,,False,,,,,,,,,,,1.0,
,hal-00995474,in,,Temporäre Projekte und ihre längerfristigen Bedeutungen für die Stadtentwicklung. Wahrnehmungsgeographische Überlegungen,COUV,notice,False,2014-05-23 12:13:25,,True,['0.shs'],2011,2011.0,,False,,,,,,,,,,,1.0,
,hal-00995475,in,,Einkaufsatmosphären. Eine alltagsästhetische Konzeption,COUV,notice,False,2014-05-23 12:13:28,,True,['0.shs'],2013,2013.0,,False,,,,,,,,,,,1.0,
,hal-00995476,in,,Farbe und Atmosphäre in öffentlichen Räumen,COUV,notice,False,2014-05-23 12:13:42,,True,['0.shs'],2013,2013.0,,False,,,,,,,,,,,1.0,
,hal-00995478,in,,Vers une culturalisation de la recherche sur les ambiances,COUV,notice,False,2014-05-23 12:13:44,,True,['0.shs'],2013,2013.0,,False,,,,,,,,,,,1.0,
,hal-00995479,in,,Gestes et registres d'action,COUV,notice,False,2014-05-23 12:13:45,,False,['0.shs'],2008,2008.0,,False,,,,,,,,,,,1.0,
,hal-00995483,in,,Nycthéméral,COUV,notice,False,2014-05-23 12:13:49,,False,['0.shs'],2010,2010.0,,False,,,,,,,,,,,1.0,
,hal-00995484,in,,Habiter son jardin en milieu urbain dense,COUV,notice,False,2014-05-23 12:13:50,,False,['0.shs'],2012,2012.0,,False,,,,,,,,,,,1.0,
,hal-00995485,in,,"Les jardins en bord d'infrastructures de transport : ambiance et écologie, une approche croisée",COUV,notice,False,2014-05-23 12:13:51,,False,['0.shs'],2013,2013.0,,False,,,,,,,,,,,2.0,
,hal-00995489,in,,Episode,COUV,notice,False,2014-05-23 12:13:55,,False,['0.shs'],2007,2007.0,,False,,,,,,,,,,,1.0,
,hal-00995492,in,,"Les dimensions sonores de la fête en Haute Provence : Digne les Bains, Thoard",COUV,notice,False,2014-05-23 12:13:58,,False,['0.shs'],2014,2014.0,,False,,,,,,,,,,,1.0,
,hal-00995496,in,,Die Klangkomposition der Stadt,COUV,notice,False,2014-05-23 12:14:03,,False,['0.shs'],2011,2011.0,,False,,,,,,,,,,,1.0,
,hal-00995497,in,,The three dynamics of urban ambiances,COUV,file,True,2017-07-10 18:01:11,http://creativecommons.org/licenses/by-nc-nd/,False,['0.shs'],2011,2011.0,,False,,,,,,,,,,,1.0,
,hal-00995500,in,,Por uma gramática geradora das ambiências,COUV,file,True,2017-07-10 17:43:44,http://creativecommons.org/licenses/by-nc-nd/,False,['0.shs'],2012,2012.0,,False,,,,,,,,,,,1.0,
,hal-00995502,in,,"Ambiances urbaines, écologie sensible",COUV,file,True,2017-07-11 15:34:41,http://creativecommons.org/licenses/by-nc-nd/,False,['0.shs'],2013,2013.0,,False,,,,,,,,,,,1.0,
,hal-00995507,in,,"The recuperation of public space : a closer look at Bogotá, Colombia",COUV,file,True,2017-07-08 16:11:39,,True,['0.shs'],2012,2012.0,,False,,,,,,,,,,,6.0,
,hal-00995510,in,,Préface,COUV,file,True,2016-02-16 11:22:22,http://creativecommons.org/licenses/by-nc-nd/,False,['0.shs'],2008,2008.0,,False,,,,,,,,,,,1.0,
,hal-00995914,in,,Tordre l'attention. Ajustements perceptifs en situation,COUV,file,True,2014-05-25 17:25:42,,True,['0.shs'],2014,2014.0,,False,,,,,,,,,,,1.0,
,hal-01113932,in,,L'énigme des ambiances en partage,COUV,file,True,2015-02-06 15:46:36,http://creativecommons.org/licenses/by-nc-nd/,True,['0.shs'],2013,2013.0,,False,,,,,,,,,,,1.0,
,hal-01141840,in,,"L’expérience sonore des lieux Spécificités, approches, enjeux : introduction",COUV,notice,False,2015-04-13 21:26:22,,False,['0.shs'],2014,2014.0,,False,,,,,,,,,,,1.0,
,hal-01168250,in,,"Natures d'ambiances en bord de routes : collectifs de jardins, dépendances routières et trame verte urbaine",COUV,notice,False,2015-06-25 14:47:14,,False,['0.shs'],2015,2015.0,,False,,,,,,,,,,,2.0,
,hal-01213548,in,,Concevoir l'architecture commerciale à partir des ambiances,COUV,file,True,2015-10-08 16:07:23,http://creativecommons.org/licenses/by-nc-nd/,True,['0.shs'],2014,2014.0,,False,,,,,,,,,,,1.0,
