openAccess_bool,domain_s,title_s,journalTitle_s,journalPublisher_s,journalEissn_s,authFullName_s,halId_s,submitType_s,docType_s,selfArchiving_bool,doiId_s,submittedDate_s,publicationDate_s,publicationDateY_i,journalIssn_s,licence_s
True,"['0.shs', '1.shs.archeo', '0.shs', '1.shs.archi']","['Recent Excavation and Recording at the New Neolithic Rock Art Site of Vallée Aux Noirs, Buthiers (Seine-et-Marne, France)']",Oxford Journal of Archaeology,Wiley,1468-0092,"['Serge Cassen', 'Valentin Grimaud', 'Laurent Lescop', 'Christophe Petit', 'Guillaume Robin']",hal-01869312,file,ART,True,10.1111/ojoa.12133,2018-09-06 14:31:53,2018,2018,0262-5253,
True,"['0.shs', '1.shs.socio', '0.shs', '1.shs.scipo', '0.shs', '1.shs.archi', '0.shs', '1.shs.geo']","[""L'analyse vidéo au service du wayfinding dans les environnements complexes : une première approche de la désorientation dans les grandes gares contemporaines""]","NETCOM : Réseaux, communication et territoires / Networks and Communications Studies",Netcom Association,2431-210X,"['Hakim Boumoud', 'Luc Gwiazdzinski']",halshs-01811233,file,ART,True,,2018-06-08 16:46:32,2018-05-28,2018,0987-6014,
False,"['0.shs', '1.shs.archi']",['L’oasis urbaine ou l’ambiance diastématique de la ville'],Sonorités,,,['Olivier Balaÿ'],hal-03283198,notice,ART,False,,2021-07-09 17:30:59,2018,2018,,
True,"['0.shs', '1.shs.archi', '0.shs', '1.shs.anthro-se', '0.shs', '1.shs.socio']","['L’affadissement des villes méditerranéennes et la désacralisation de la figure de l’hôte', 'The fading of mediterranean towns and the desecration of host figure', 'La insipidez de las ciudades mediterráneas y la desacralización de la figura del anfitrión']",SociologieS,Toulouse : Association internationale des sociologues de langue française,,['Marc Breviglieri'],hal-03156566,file,ART,True,,2021-06-22 13:41:42,2018,2018,1992-2655,http://creativecommons.org/licenses/by-nd/
True,"['0.shs', '1.shs.archi', '0.shs', '1.shs.art']","[""Une perception indécise : L'esthétique atmosphérique de Cemetery of Splendour d'Apichatpong Weerasethakul""]",La Furia Umana,Duen de Bux,,['Laure Brayer'],hal-02447045,file,ART,True,,2020-01-21 12:31:10,2018,2018,2255-2812,
True,"['0.shs', '1.shs.archi', '0.sde', '1.sde.es', '0.shs', '1.shs.art']","['Des villes, des cinémas, des ambiances']",Journal of Film Preservation,Fédération internationale des archives du film,,"['Jérémie Bancilhon', 'Nicolas Tixier', 'Peggy Zejgman-Lecarme']",hal-01847696,file,ART,True,,2018-11-10 15:36:33,2018-11,2018,1609-2694,
True,"['0.shs', '1.shs.phil', '0.shs', '1.shs.socio', '0.shs', '1.shs.archi']","[""Cadres théoriques et sciences humaines : quelles leçons épistémologiques pour l'urbanisme et l'aménagement?"", 'Theoretical frameworks and the human sciences: what epistemological lessons for urban planning?']",Revue Europeenne des Sciences Sociales,Librairie Droz Geneve,,['Céline Bonicco-Donato'],hal-02527821,file,ART,True,10.4000/ress.4033,2020-04-01 14:46:06,2018-05-25,2018,0048-8046,http://creativecommons.org/licenses/by-nc-nd/
True,"['0.shs', '1.shs.archi']",['Changing the Urban Sound Environment in Greece: A Guide Based on Selected Case Studies of Strategic Noise Maps (SNM) and Noise Action Plans (NAP) in Medium and Large Urban Areas'],Environments,MDPI,,"['Konstantinos Vogiatzis', 'Nicolas Rémy']",halshs-01807909,file,ART,False,10.3390/environments5060064,2018-06-05 12:21:28,2018,2018,2076-3298,
True,"['0.shs', '1.shs.archi']","[""Vers une écologie ambiante de l'urbain""]",Environnement Urbain / Urban Environment,Institut national de la recherche scientifique - Réseau Villes Régions Monde,1916-4645,['Jean-Paul Thibaud'],hal-01878790,file,ART,False,,2019-07-11 16:49:07,2018,2018,1916-4645,
True,"['0.shs', '1.shs.archi', '0.shs', '1.shs.geo', '0.shs', '1.shs.socio']",['Notre-Dame-des-Landes. Expériences du commun'],Les Carnets du paysage,Actes Sud/ École Nationale Supérieure du Paysage,,"['Tibo Labat', 'Margaux Vigne']",hal-02498190,file,ART,True,,2020-03-04 11:24:23,2018-05,2018,1296-0101,http://creativecommons.org/licenses/by-nc-nd/
True,"['0.shs', '1.shs.archi']","['Les aventures insoupçonnées de la thèse en alternance : entretien avec Claude Maillère et Matthieu Nédonchelle, référents CIFRE de thèses en cours']","Les Cahiers de la recherche architecturale, urbaine et paysagère",Ministère de la Culture,2606-7498,['Laurent Devisme'],hal-02426681,file,ART,True,10.4000/craup.370,2020-01-02 16:51:38,2018-01-30,2018,2606-7498,http://creativecommons.org/licenses/by-nc-nd/
True,"['0.shs', '1.shs.archi']",['Living in a harbour : Nantes (Fr) From Cranes To Elephant'],Studia Regionalia,Polish Academy of Sciences – Committee for Spatial Economy and Regional Planning and European Regional Science Association (ERSA) Polish Section,,['Laurent Lescop'],hal-02148513,file,ART,True,,2019-06-05 15:38:50,2018,2018,0860-3375,http://hal.archives-ouvertes.fr/licences/copyright/
True,"['0.sde', '1.sde.es', '0.shs', '1.shs.envir', '0.shs']",['Quelle place du sonore dans la production urbaine\xa0? Éclairage par les postures et pratiques professionnelles dans le cadre du diagnostic sonore urbain'],VertigO : La Revue Électronique en Sciences de l'Environnement,VertigO,,"['Théa Manola', 'Elise Geisler', 'Silvère Tribout', 'Jean-Dominique Polack']",hal-02948549,file,ART,False,10.4000/vertigo.23818,2021-06-11 15:43:27,2018-12-05,2018,1492-8442,http://creativecommons.org/licenses/by-nc-nd/
True,"['0.shs', '1.shs.archi']","['La Cartopartie, une nouvelle forme de balade urbaine déployée par les villes']","Les Cahiers de la recherche architecturale, urbaine et paysagère",Ministère de la Culture,2606-7498,"['Gwendoline L’her', 'Myriam Servières', 'Daniel Siret']",hal-02187403,notice,ART,True,10.4000/craup.1003,2019-07-17 18:19:51,2018-12-26,2018,2606-7498,
True,"['0.shs', '1.shs.archi']",['Genèse des formations en urbanisme en France : Grenoble un “laboratoire urbain” pas comme les autres\xa0?'],Territoire en mouvement.Revue de Géographie et d'Aménagement,Université des Sciences et Technologies de Lille,1950-5698,"['Jennifer Buyck', 'Samuel Martin', 'Maryvonne Prevot', 'Fleur Romano']",hal-01995855,notice,ART,True,10.4000/tem.4773,2019-01-27 22:37:41,2018-12-20,2018,1954-4863,
